노래제목,가수,가사,요약,카테고리,
all of my life,박원,"너무 힘들어 삶에 치이고
되는 것도 없고
가족도 안 보이고
언제부턴가 나도 중요하지 않고
없진 않지만 더 많이 가져야
사랑도 이어갈 수 있는 이 세상에서
all of my life
you are all of my life
그러고 보면 나
너를 만나 참 많이 변했어
꿈이 생기고 네가 가진 꿈도
이뤄주고 싶었어 나 그러려면
더 높은 곳에 올라가야만 했어
더 많은 것들을 가져야 가능했어
다 가질 때쯤
사랑보다 꿈이 더 커졌어
all of my life
내가 힘이 들 때
you are all of my life
네가 날 채웠는데
다른 어떤 걸로 나를 채워봐도
all of my life
you are all of my life
채워지지가 않아
그렇게 우리 바라왔고
간절했던 거잖아
이젠 내방에 가득한데
나도 아무것도 없는
방 안에서 넌 혼자
이렇게 주저앉아 울고 있었니
all of my life
넌 내 전부인데
이 모든 게 다 무슨 소용 있는데
어디선가 이 노랠 듣게 된다면
all of my life
all of my life
네 이야기가 맞아","고난과 어려움 속에서 사랑과 꿈에 대한 의미를 찾아가며, 상대방과 함께 이루고 싶은 꿈을 위해 더 나아가려는 강한 의지를 담은 노래",이별,관계
노력,박원,"널 만날 수 있는 날
친굴 만났고
끊이지 않던 대화가
이젠 끊기고
널 바라보다가
다른 사람을 겹쳐봤어
누군가 내 안에
들어온 것도 아닌데
사랑한단 말은
점점 미안하고
억지로 한 것뿐인데
넌 좋아하고
너에게만 나는
아주 바쁜 사람
내 연락을 기다리다가
또 잠들겠지
나도 노력해봤어
우리의 이 사랑을
안되는 꿈을 붙잡고
애쓰는 사람처럼
사랑을 노력한다는 게
말이 되니
서로가 다른 건
특별하다고
같은 건 운명이라
했던 것들이
지겨워져
넌 오늘보다 내일 날
더 사랑한대
난 내일보다 오늘 더
사랑할 텐데
나도 노력해봤어
우리의 이 사랑을
아픈 몸을 이끌고
할 일을 끝낼 그때처럼
사랑을 노력한다는 게
말이 되니
말이 되니
사랑을 노력한다는 게
노력으로 안되는 게
있다는 게
사랑을 노력한다는 게
말이 되니
너는 아직 아무것도
모르고만 있는데
어떻게 말해야 할지
나도 모르겠어
그렇게 널 만나러 가",두 사람 간의 사랑이 어려움에 부딪혀 지쳐가는 모습을 담은 노래,이별,관계
삭제,이승기,"헤어진 다음 날 니 목소리없이
아침에 혼자 눈을 뜨게 된거야
실감이 안나 전화기를 켜보니
니 사진은 우리 둘 사진은
그대로 있는데 여기 있는데
어떡해 벌써 보고 싶은데
이젠 지워야겠지
모두 지워야겠지
웃는 너의 사진을
행복한 우리 사진을
한 장씩 너를 지울 때마다
가슴이 아려와
너의 사진이 점점 흐려져
사진 속 너를 불러도 보고
너를 만져도 보고
너무 잔인한 일이야
너를 지우는 일
그대로 있는데
웃고 있는데
사진 속 니가 웃고 있는데
이 땐 행복했나봐
이 땐 몰랐었나봐
우린 좋았었는데
우린 좋았을 텐데
한 장씩 너를 지울 때마다
가슴이 아려와
너의 사진이 점점 흐려져
사진 속 너를 불러도 보고
너를 만져도 보고
너무 잔인한 일이야
너를 지우는 일
이제 눈 감고 널 지워
어차피 우린 아닌거잖아
이젠 눈 감고 널 지워
마지막 사진 한장 뿐
마지막 너의 얼굴이 보여
너무 아름다워요
이제 다시는 볼 수 없음에
한번 더 너를 불러도 보고
너를 만져도 보고
너무 잔인한 일이지만은
널 지웠어",헤어진 후에도 너를 지울 때마다 아픈 마음을 담은 이별의 곡,이별,관계
사랑에 연습이 있었다면,임재현,"사랑에 연습이 있었다면
우리는 달라졌을까
내가 널 만난 시간 혹은 그 장소
상황이 달랐었다면
우린 맺어졌을까
하필 넌
왜 내가 그렇게 철없던 시절에
나타나서 그렇게 예뻤니
너처럼 좋은 여자가
왜 날 만나서 그런
과분한 사랑 내게 줬는지
우리 다시 그때로 돌아가자는게
그게 미친말인가
정신나간 소린가
나는 더 잘 할 수 있고
다신 울리지 않을
자신있는데 그게 왜 말이 안돼
시간이 너무 흘러 알게되었는데
너를 울리지 않고 아껴주는법
세월은 왜 철없는 날
기다려주지 않고
흘러갔는지 야속해
지금 너 만나는 그에게도
내게 그랬던 것처럼
예쁘게 웃어주니
너처럼 좋은 여자의
사랑 받는 그 남자 너무 부러워
넌 행복하니
니옆에 지금 그 남자가 있는게
우리 다시 맺어질수가 없는 이윤가
나는 더 잘 할 수 있고
다신 울리지 않을
자신있는데 그게 왜 말이 안돼
시간이 너무 흘러 알게 되었는데
너를 울리지 않고 아껴주는 법
세월은 왜 널 잊는 법을
알려주지 않고 흘러갔는지","이별 후의 회한과 자기 자신에 대한 확신, 그리고 세월이 가도 변하지 않는 아픈 기억에 대한 곡",이별,관계
내가 아니라도,주호,"사랑이었다 별거 없던 내 하루에
빛이 돼준 단한 사람
나보다 나를 더 아껴 주던 너를
그땐 왜 몰랐을까
행복이었다 다시는 없을 것 같던
잠시나마 행복했었다
다른 사람 곁에 있는 널
생각해 본 적 없지만
이젠 너를 보내줘야 할 것 같아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
내 전부였다 무엇도 바꿀 수 없던
우리라서 행복했었다
다른 누구라도
나보다 더 좋은 사람 만나서
이젠 나를 잊고 행복하게 살아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
어두웠던 내 하루에
빛이 되어주던 그날들을
어떻게 잊고 살아
과분했던 너라는 사람을 만나
누구보다 사랑했었다
내가 아니었다면
눈부시게 사랑받았을 너란 걸
이 세상에 누구보다 더 잘 알아서
미안했어 너와 함께한 날들이
더 말할 게 있을까
행복한 기억만 가져갈게",사랑을 깨달았던 소중한 순간들과 이별의 아픔을 표현한 곡,이별,관계
가질 수 없는 너,뱅크,"술에 취한 니 목소리 문득 생각났다던 그 말
슬픈 예감 가누면서 네게로 달려갔던 날 그 밤
희미한 두 눈으로 날 반기며 넌 말했지
헤어진 그를 위해선 남아있는 니 삶도 버릴 수 있다고
며칠 사이 야윈 널 달래고 집으로 돌아오면서
마지막까지도 하지 못한 말 혼자서 되뇌었었지
사랑한다는 마음으로도 가질 수 없는 사람이 있어
나를 봐 이렇게 곁에 있어도 널 갖지 못하잖아

눈물 섞인 니 목소리 내가 필요하다던 그 말
그것으로 족한 거지 나 하나 힘이 된다면 네게
붉어진 두 눈으로 나를 보며 넌 물었지
사랑의 다른 이름은
아픔이라는 것을 알고 있느냐고
며칠 사이 야윈 널 달래고 집으로 돌아오면서
마지막까지도 하지 못한 말 혼자서 되뇌었었지
사랑한다는 마음으로도 가질 수 없는 사람이 있어
나를 봐 이렇게 곁에 있어도 널 갖지 못하잖아",술에 취한 니 목소리를 통해 전한 이별의 아픔과 사랑의 한계를 담은 곡,이별,관계
아름답고도 아프구나,비투비,"사랑을 만나 이별을 하고
수없이 많은 날을 울고 웃었다
시간이란 건 순간이란 게
아름답고도 아프구나
낭만 잃은 시인 거의 시체 같아
바라고 있어 막연한 보답
아픔을 피해 또 다른 아픔을 만나
옆에 있던 행복을 못 찾았을까
너를 보내고 얼마나
나 많이 후회했는지 몰라
지금 이 순간에도 많은 걸
놓치고 있는데 말이야
시간은 또 흘러 여기까지 왔네요
지금도 결국 추억으로 남겠죠
다시 시작하는 게 이젠 두려운걸요
이별을 만나 아플까 봐
사랑을 만나 이별을 하고
수없이 많은 날을 울고 웃었다
시간이란 건 순간이란 게
아름답고도 아프구나
Yeah love then pain love then pain
Yeah let's learn from our mistakes
우린 실패로부터 성장해
성장해
사랑은 하고 싶지만
Nobody wants to deal
with the pain that follows no
I understand them though
Yeah 이해돼 이해돼
사랑이라는 게
매일 웃게 하던 게
이제는 매일 괴롭게 해
괴로워
아픈 건 없어지겠지만
상처들은 영원해
But that's why it's called
beautiful pain
시간은 슬프게 기다리질 않네요
오늘도 결국 어제가 되겠죠
다시 시작하는 게
너무나 힘든걸요
어김없이 끝이 날까 봐
사랑을 만나 이별을 하고
수없이 많은 날을 울고 웃었다
시간이란 건 순간이란 게
아름답고도 아프구나
사랑이란 건 멈출 수 없다
아픔은 반복돼
이렇게도 아픈데 또 찾아와
사랑은 남몰래
우린 누구나가 바보가 돼
무기력하게도 한순간에
오래도록 기다렸다는 듯
아픈 사랑 앞에 물들어가
그대를 만나 사랑을 하고
그 어떤 순간보다 행복했었다
그대는 부디 아프지 말고
아름다웠길 바란다
사랑을 만나 이별을 하고
수없이 많은 날을 울고 웃었다
시간이란 건 순간이란 게
아름답고도 아프구나",사랑과 이별의 과정을 거쳐 아름다움과 아픔을 깨닫는 곡,이별,관계
미안해,양다일,"습관처럼 떠오르던
눈에 아른거리던 네 모습이
더는 그려지지 않아
거짓뿐이었던 너의 말과
너도 모르는 너의 모습들을
더는 원치 않아
단 한 번뿐인 이별에도 말하지 못한
너의 진심을 이젠 다 알 것 같은데
미안해 더는 널 바라보지 않아
미안해 더는 나 후회하지 않아
다시 널 마주할 그 순간에도
널 사랑하지 않아 말할 수 있어
수화기 너머 들리는
지친 날 위로하던 네 목소리
더는 그려지지 않아
함께 쌓았던 추억과
그 많던 말들이 아쉬워서
전하지 못한 말들이
미안해 더는 널 바라보지 않아
미안해 더는 나 후회하지 않아
다시 널 마주할 그 순간에도
널 사랑하지 않아 말할 수 있어
어색하게 만난 우리 시작도
처음 고백했던 그 순간들도
다 어제 같은 일인데
누굴 만나 사랑한다는 게
너를 만나 내가 변해간단 게
이젠 없어
미안해 더는 널 사랑하지 않아
미안해 더는 나 후회하지 않아
힘든 시간들에 지쳐갈 때도
이렇게 해야만 내가 편할 것 같아",이별의 아픔과 후회를 표현한 곡,이별,관계
솔직하게 말해서 나,김나영,"햇살이 좋았던 그 날
그만하자며 말을 하는 너
전혀 믿어지지가 않아
지금 이순간 모든 시간이 멈춘 듯
어떤 말을 해야할지
어떤 표정 지어야할지
아무것도 생각나지를 않아
솔직하게 말해서 나
헤어질 자신이 없어
괜찮은 척 웃으며 널
보내줄 자신이 없어
네가 없는 내 하루
하루도 생각한 적 없는데
나보다 나를 니가 더 잘 알면서
마지막 인사를 하며
멀어져가는 너를 보며
아무것도 할수있는 게 없어
솔직하게 말해서 나
헤어질 자신이 없어
괜찮은 척 웃으며 널
보내줄 자신이 없어
네가 없는 내 하루
하루도 생각한 적 없는데
나보다 나를 니가 더 잘 알면서
이별앞에 서 있는 너의 눈에 비춰진
애써 웃는 내 모습이
나를 더욱 아프게만해
솔직하게 말할게 나
헤어지고 싶지 않아
너 없이 나 혼자서
지낼 자신이 난 없어
네가 없는 내 하루 하루도
견딜수가 없는데
나보다 네가 먼저였던 날
나보다 나를 니가 더 잘 알면서",햇살 가득한 날에 이별을 말하며 서로를 잘 모르는 채로 헤어지는 아픈 감정을 표현한 곡,이별,관계
벌써 일년,브라운 아이즈,"처음이라 그래 며칠뒤엔
괜찮아져
그 생각만으로 벌써 일년이
너와 만든 기념일마다
슬픔은 나를 찾아와
처음 사랑 고백하며
설렌 수줍음과
우리 처음 만난날 지나가고
너의 생일엔 눈물의 케이크
촛불 켜고서 축하해
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도
널 기다려
너무 보고싶어 돌아와줘
말 못했어
널 보는 따뜻한 그의 눈빛과
니 왼손에 껴진 반지보다
빛난 니 얼굴 때문에
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는
너라는걸
내가 기억하는 추억은 언제나
지난 웃음과 얘기와 바램들
또 새로 만들 추억은 하나뿐
내 기다림과 눈물 속 너일뿐
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는
너라는걸
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도
널 기다려","일년이 지난 지금도 너를 기다리며, 추억을 만들고 싶어하는 마음을 담은 곡",이별,관계
얼음꽃,에일리,"조용히 또 하루가 저물어
그렇게 살고 있나봐
아무것도 할 수가 없어
추억만이 남아
시간이 흘러
다시 사랑할 수 있다면
좋을텐데
눈물아
내 기억이 너를 잊지 못해
가슴아
내 추억이 너를 놓지 못해
하루 또 하루만 볼 수 있다면
내 사랑아
이제 다시 돌릴 순 없지만
기억만이 남아
시간이 흘러
다시 다가갈 수 있다면
좋을텐데
눈물아
내 기억이 너를 잊지 못해
가슴아
내 추억이 너를 놓지 못해
하루 또 하루만 볼 수 있다면
내 사랑아
사랑인 걸 알잖아
지난 날들도
난 눈물이 흘러
눈물아
내 기억이 너를 잊지 못해
가슴아
내 추억이 너를 놓지 못해
하루 또 하루만 볼 수 있다면
내 사랑아",한없이 추억에 사로잡힌 마음을 담은 곡,이별,관계
눈부신 눈물,2BIC,"우리 다시 사랑하게 된다면

그땐 조금만 떨어져 걸어요

그댈 사랑하는 마음이

내 심장 옆에 붙어서

혼자 걷지 말래요

그댈 데려오래요

우리 다시 사랑하게 된다면

너무 서로만 바라 보지는 말아요

눈부셔 흐르던 미소가

눈물이 되어 내려요

다신 그대 두눈은 마주 할수없는데

하루도 그대없이 사는건

생각해 본적 없어서

오늘이 마지막인 것처럼

그댈 사랑해야했어

사랑을 잘몰라서

아니 나밖에 몰라서

아픈 가슴으로 배우나봐 이별뒤에

우리 다시 사랑하게 된다면

사랑한단말 아끼지 말기로 해요

부끄러워 자주 못한말

입술에 자꾸 맴돌아

혼자 되뇌이네요

더는 그대없는데

하루도 그대없이 사는건

생각해 본적 없어서

오늘이 마지막인 것처럼

그댈 사랑해야했어

사랑을 잘몰라서

아니 나밖에 몰라서

시린 가슴으로 배우나봐 바보처럼

저너머에 그대 있나요

내 사랑이 그댈 울리나요

가끔 바람되어 내 어깨를 스치며

위로 하나요

문득 눈물 멈추면

그대 다녀간 거겠죠

우리가 다시 사랑한다면

많은 사랑 주진마요

그대가 주고간 그사랑이

죽을만큼 그리워요

우리 사랑한다면

다시 사랑하게되면

그땐 이렇게 떠나지마요 가지마요

저 하늘에 부탁해요

이말 전해주길 사랑합니다",사랑하는 이와의 재회를 간절히 바라는 마음을 담은 곡,이별,관계
